"relevance_score","site","title","company","location","date_posted","job_url","is_remote"
47,"himalayas","Web Engineer Trainee (Internship Track: Full Stack)","KraftPixel Digital Solutions Private Limited","United States","2026-05-31","https://himalayas.app/companies/kraftpixel-digital-solutions-private-limited/jobs/web-engineer-trainee-internship-track-full-stack-4075700696",True
42,"himalayas","Backend Developer - intern","Freelancerprox","Italy","2026-05-30","https://himalayas.app/companies/freelancerprox/jobs/backend-developer-intern-3917234494",True
40,"himalayas","A.I. Engineering Intern (Colombia)","Sezzle","Colombia","2026-05-30","https://himalayas.app/companies/sezzle/jobs/a-i-engineering-intern-colombia",True
